"","Species","Country","year","count"
"742","LBE","BE","X2014",0
"743","LBE","BE","X2014",0
"744","LBE","BE","X2014",0
"745","LBE","BE","X2014",0
"746","LBE","BE","X2014",0
"747","LBE","BE","X2014",0
"748","LEM","BE","X2014",1192
"749","LEM","BE","X2014",0
"750","LEM","BE","X2014",0
"751","LEM","BE","X2014",650
"752","LEM","BE","X2014",0
"753","LEM","BE","X2014",604
"754","LEM","BE","X2014",47
"755","LEM","BE","X2014",0
"756","LEM","BE","X2014",0
"757","LEM","BE","X2014",0
"758","LEM","BE","X2014",0
"759","LEM","BE","X2014",0
"760","LEM","BE","X2014",0
"761","LEM","BE","X2014",0
"762","LEM","BE","X2014",0
"763","LEM","BE","X2014",542
"764","LEM","BE","X2014",2
"765","LEM","BE","X2014",0
"766","LEM","BE","X2014",163
"767","LEM","BE","X2014",5
"768","LEM","BE","X2014",308
"769","LEM","BE","X2014",63
"770","LEM","BE","X2014",1
"771","LEM","BE","X2014",0
"772","LEM","BE","X2014",0
"773","LEM","BE","X2014",0
"774","LEM","BE","X2014",0
"775","LEM","BE","X2014",0
"776","LEM","BE","X2014",0
"777","LEZ","BE","X2014",189
"778","LEZ","BE","X2014",10
"779","LEZ","BE","X2014",10
"780","LEZ","BE","X2014",0
"781","LEZ","BE","X2014",167
"782","LEZ","BE","X2014",0
"783","LEZ","BE","X2014",0
"784","LEZ","BE","X2014",1
"785","LEZ","BE","X2014",2
"786","LEZ","BE","X2014",68
"787","LEZ","BE","X2014",86
"788","LEZ","BE","X2014",10
"789","LEZ","BE","X2014",0
"790","LEZ","BE","X2014",0
"791","LEZ","BE","X2014",12
"792","LEZ","BE","X2014",0
"793","LEZ","BE","X2014",12
"794","LIN","BE","X2014",97
"795","LIN","BE","X2014",0
"796","LIN","BE","X2014",0
"797","LIN","BE","X2014",0
"798","LIN","BE","X2014",0
"799","LIN","BE","X2014",0
"800","LIN","BE","X2014",0
"801","LIN","BE","X2014",0
"802","LIN","BE","X2014",16
"803","LIN","BE","X2014",0
"804","LIN","BE","X2014",16
"805","LIN","BE","X2014",0
"806","LIN","BE","X2014",0
"807","LIN","BE","X2014",0
"808","LIN","BE","X2014",0
