Species,Country,2014,2013,2012,2011,2010,2009,2008,2007,2006
CRE,BE,1,0,0,0,0,0,0,0,0
CRE,BE,0,0,0,0,0,0,0,0,0
CRE,BE,0,0,0,0,0,0,0,0,0
CRE,BE,18,16,13,6,5,2,8,5,4
CRE,BE,1,0,1,0,0,0,0,1,1
CRE,BE,17,15,13,6,4,2,8,4,3
CRE,BE,0,0,0,0,0,0,0,0,0
CRU,BE,3,4,2,3,1,0,1,2,2
CRU,BE,0,0,0,0,0,0,0,0,0
CRU,BE,0,0,0,0,0,0,0,0,0
CRU,BE,0,0,0,0,0,0,0,0,0
CRU,BE,0,0,0,0,0,0,0,0,0
CRU,BE,0,0,0,0,0,0,0,0,0
CRU,BE,0,0,0,0,0,0,0,0,0
CRU,BE,0,0,0,0,0,0,0,0,0
CRU,BE,0,0,0,0,0,0,0,0,0
CRU,BE,0,0,0,0,0,0,0,0,0
CRU,BE,3,4,2,3,1,0,1,2,2
CRU,BE,0,1,0,0,0,0,0,0,0
CRU,BE,2,2,1,1,1,0,0,1,1
CRU,BE,0,0,0,0,0,0,0,0,0
CRU,BE,0,0,1,1,0,0,0,0,1
CRU,BE,0,1,1,1,0,0,0,0,1
CRU,BE,0,0,0,0,0,0,0,0,0
CRU,BE,0,0,0,0,0,0,0,0,0
CSH,BE,1178,1226,880,769,2078,0,0,0,0
CSH,BE,1178,1226,880,769,2066,0,0,0,0
CSH,BE,23,48,32,0,58,0,0,0,0
CSH,BE,1156,1179,848,769,2009,0,0,0,0
CSH,BE,0,0,0,0,12,0,0,0,0
CSH,BE,0,0,0,0,12,0,0,0,0
CTC,BE,373,434,836,392,454,320,872,1395,730
CTC,BE,50,40,40,14,35,47,58,36,58
CTC,BE,0,0,0,0,0,0,0,0,0
CTC,BE,1,18,8,4,2,1,4,2,1
CTC,BE,49,22,33,11,33,46,53,33,57
CTC,BE,0,0,0,0,0,0,0,0,0
CTC,BE,0,0,0,0,0,0,0,0,0
CTC,BE,320,386,777,371,417,272,812,1342,672
CTC,BE,0,0,0,0,0,0,0,0,0
CTC,BE,282,199,420,232,320,220,639,1035,539
CTC,BE,31,164,316,127,93,48,162,296,122
CTC,BE,6,20,26,10,3,3,7,6,5
CTC,BE,2,3,14,2,2,1,4,4,4
CTC,BE,0,0,1,0,0,0,0,1,1
CTC,BE,0,0,0,0,0,0,0,0,0
CTC,BE,0,0,0,0,0,0,0,0,0
CTC,BE,3,7,19,7,1,1,2,17,0
CTC,BE,0,0,1,0,0,0,0,2,0
CTC,BE,3,7,18,6,1,1,2,15,0
CTC,BE,0,0,0,0,0,0,0,0,0
DAB,BE,481,663,625,469,553,570,559,624,605
DAB,BE,0,0,0,0,0,0,0,0,0
DAB,BE,0,0,0,0,0,0,0,0,0
DAB,BE,0,0,0,0,0,0,0,0,0
DAB,BE,0,0,0,0,0,0,0,0,0
DAB,BE,0,0,0,0,0,0,0,0,0
DAB,BE,0,0,0,0,0,0,0,0,0
DAB,BE,0,0,0,0,0,0,0,0,0
DAB,BE,304,406,454,243,337,349,371,436,369
DAB,BE,0,0,0,0,0,0,0,0,0
DAB,BE,174,253,282,131,93,95,119,238,244
DAB,BE,130,153,173,112,244,254,253,198,125
DAB,BE,0,0,0,0,0,0,0,0,0
DAB,BE,0,0,0,0,0,0,0,0,0
DAB,BE,0,0,0,0,0,0,0,0,0
DAB,BE,0,0,0,0,0,0,0,0,0
DAB,BE,0,0,0,0,0,0,0,0,0
DAB,BE,0,0,0,0,0,0,0,0,0
DAB,BE,0,0,0,0,0,0,0,0,0
DAB,BE,0,0,0,0,0,0,0,0,0
DAB,BE,177,257,171,226,216,221,188,188,235
DAB,BE,2,8,11,14,13,10,6,8,33
DAB,BE,149,197,110,162,158,159,147,147,160
DAB,BE,1,4,6,7,3,5,2,2,3
DAB,BE,20,35,31,27,23,24,13,20,16
DAB,BE,5,13,14,17,20,23,21,13,23
DAB,BE,0,0,0,0,0,0,0,0,0
DAB,BE,0,0,0,0,0,0,0,0,0
DAB,BE,0,0,0,0,0,0,0,0,0
DAB,BE,0,0,0,0,0,0,0,0,0
DAB,BE,0,0,0,0,0,0,0,0,0
DAB,BE,0,0,0,0,0,0,0,0,0
DAB,BE,0,0,0,0,0,0,0,0,0
DGH,BE,0,0,0,0,0,0,0,0,0
DGH,BE,0,0,0,0,0,0,0,0,0
DGH,BE,0,0,0,0,0,0,0,0,0
DGH,BE,0,0,0,0,0,0,0,0,0
DGH,BE,0,0,0,0,0,0,0,0,0
DGH,BE,0,0,0,0,0,0,0,0,0
DGH,BE,0,0,0,0,0,0,0,0,0
DGH,BE,0,0,0,0,0,0,0,0,0
DGH,BE,0,0,0,0,0,0,0,0,0
DGH,BE,0,0,0,0,0,0,0,0,0
DGH,BE,0,0,0,0,0,0,0,0,0
DGH,BE,0,0,0,0,0,0,0,0,0
DGH,BE,0,0,0,0,0,0,0,0,0
DGH,BE,0,0,0,0,0,0,0,0,0
DGH,BE,0,0,0,0,0,0,0,0,0
DGH,BE,0,0,0,0,0,0,0,0,0
DGH,BE,0,0,0,0,0,0,0,0,0
DGH,BE,0,0,0,0,0,0,0,0,0
DGH,BE,0,0,0,0,0,0,0,0,0
DGH,BE,0,0,0,0,0,0,0,0,0
DGH,BE,0,0,0,0,0,0,0,0,0
DGH,BE,0,0,0,0,0,0,0,0,0
DGH,BE,0,0,0,0,0,0,0,0,0
DGH,BE,0,0,0,0,0,0,0,0,0
DGH,BE,0,0,0,0,0,0,0,0,0
DGS,BE,0,0,0,3,1,6,11,10,17
DGS,BE,0,0,0,0,0,0,0,0,0
DGS,BE,0,0,0,0,0,0,0,0,0
DGS,BE,0,0,0,0,0,0,0,0,0
DGS,BE,0,0,0,0,0,0,0,0,0
DGS,BE,0,0,0,0,0,0,0,0,0
DGS,BE,0,0,0,0,0,0,0,0,0
DGS,BE,0,0,0,0,0,0,0,0,0
DGS,BE,0,0,0,0,0,1,2,2,2
DGS,BE,0,0,0,0,0,0,0,0,0
DGS,BE,0,0,0,0,0,0,1,1,1
DGS,BE,0,0,0,0,0,1,1,1,1
DGS,BE,0,0,0,0,0,0,0,0,0
DGS,BE,0,0,0,0,0,0,0,0,0
DGS,BE,0,0,0,0,0,0,0,0,0
DGS,BE,0,0,0,0,0,0,0,0,0
DGS,BE,0,0,0,0,0,0,0,0,0
DGS,BE,0,0,0,0,0,0,0,0,0
DGS,BE,0,0,0,0,0,0,0,0,0
DGS,BE,0,0,0,0,0,0,0,0,0
DGS,BE,0,0,0,3,1,5,9,8,15
DGS,BE,0,0,0,0,0,0,2,3,7
DGS,BE,0,0,0,3,0,0,0,0,1
DGS,BE,0,0,0,0,0,0,0,0,0
DGS,BE,0,0,0,0,0,0,1,0,2
DGS,BE,0,0,0,0,0,4,6,5,5
DGS,BE,0,0,0,0,0,0,0,0,0
DGS,BE,0,0,0,0,0,0,0,0,0
DGS,BE,0,0,0,0,0,0,0,0,0
DGS,BE,0,0,0,0,0,0,0,0,0
DGS,BE,0,0,0,0,0,0,0,0,0
DGS,BE,0,0,0,0,0,0,0,0,0
DGZ,BE,0,0,0,0,0,0,521,478,503
DGZ,BE,0,0,0,0,0,0,143,102,101
DGZ,BE,0,0,0,0,0,0,2,1,1
DGZ,BE,0,0,0,0,0,0,141,101,100
DGZ,BE,0,0,0,0,0,0,359,363,389
DGZ,BE,0,0,0,0,0,0,37,63,80
DGZ,BE,0,0,0,0,0,0,0,0,0
DGZ,BE,0,0,0,0,0,0,194,163,163
DGZ,BE,0,0,0,0,0,0,23,28,23
DGZ,BE,0,0,0,0,0,0,47,49,37
DGZ,BE,0,0,0,0,0,0,59,60,85
DGZ,BE,0,0,0,0,0,0,0,0,1
DGZ,BE,0,0,0,0,0,0,18,13,13
DGZ,BE,0,0,0,0,0,0,0,1,1
DGZ,BE,0,0,0,0,0,0,18,12,12
DIA,BE,0,0,0,0,0,0,0,0,0
DIA,BE,0,0,0,0,0,0,0,0,0
DIA,BE,0,0,0,0,0,0,0,0,0
DPX,BE,11,95,214,225,254,276,273,343,366
DPX,BE,0,0,0,0,0,0,0,0,0
DPX,BE,0,0,0,0,0,0,0,0,0
DPX,BE,0,0,0,0,0,0,0,0,0
DPX,BE,0,0,0,0,0,0,0,0,0
DPX,BE,0,0,0,0,0,0,0,0,0
DPX,BE,0,0,0,0,0,0,0,0,0
DPX,BE,0,0,0,0,0,0,0,0,0
DPX,BE,6,13,19,17,31,43,30,27,30
DPX,BE,0,0,0,0,0,0,0,0,0
